U00009, CHARACTER TABULATION                   , Tab
U0000A, LINE FEED (LF)                         , NewLine
U00021, EXCLAMATION MARK                       , excl
U00022, QUOTATION MARK                         , quot
U00023, NUMBER SIGN                            , num
U00024, DOLLAR SIGN                            , dollar
U00025, PERCENT SIGN                           , percnt
U00026, AMPERSAND                              , amp
U00027, APOSTROPHE                             , apos
U00028, LEFT PARENTHESIS                       , lpar
U00029, RIGHT PARENTHESIS                      , rpar
U0002A, ASTERISK                               , ast, midast
U0002B, PLUS SIGN                              , plus
U0002C, COMMA                                  , comma
U0002E, FULL STOP                              , period
U0002F, SOLIDUS                                , sol
U0003A, COLON                                  , colon
U0003B, SEMICOLON                              , semi
U0003C, LESS-THAN SIGN                         , lt
U0003C-020D2, LESS-THAN SIGN with vertical line, nvlt
U0003D, EQUALS SIGN                            , equals
U0003D-020E5, EQUALS SIGN with reverse slash   , bne
U0003E, GREATER-THAN SIGN                      , gt
U0003E-020D2, GREATER-THAN SIGN with vertical line, nvgt
U0003F, QUESTION MARK                          , quest
U00040, COMMERCIAL AT                          , commat
U0005B, LEFT SQUARE BRACKET                    , lsqb, lbrack
U0005C, REVERSE SOLIDUS                        , bsol
U0005C-02282, REVERSE SOLIDUS, SUBSET OF       , bsolhsub
U0005D, RIGHT SQUARE BRACKET                   , rsqb, rbrack
U0005E, CIRCUMFLEX ACCENT                      , Hat
U0005F, LOW LINE                               , lowbar
U00060, GRAVE ACCENT                           , grave, DiacriticalGrave
U0006A, LATIN SMALL LETTER J                   , jmath
U0007B, LEFT CURLY BRACKET                     , lcub, lbrace
U0007C, VERTICAL LINE                          , verbar, vert, VerticalLine
U0007D, RIGHT CURLY BRACKET                    , rcub, rbrace
U000A0, NO-BREAK SPACE                         , nbsp, NonBreakingSpace
U000A1, INVERTED EXCLAMATION MARK              , iexcl
U000A2, CENT SIGN                              , cent
U000A3, POUND SIGN                             , pound
U000A4, CURRENCY SIGN                          , curren
U000A5, YEN SIGN                               , yen
U000A6, BROKEN BAR                             , brvbar
U000A7, SECTION SIGN                           , sect
U000A8, DIAERESIS                              , Dot, die, DoubleDot, uml
U000A9, COPYRIGHT SIGN                         , copy
U000AA, FEMININE ORDINAL INDICATOR             , ordf
U000AB, LEFT-POINTING DOUBLE ANGLE QUOTATION MARK, laquo
U000AC, NOT SIGN                               , not
U000AD, SOFT HYPHEN                            , shy
U000AE, REGISTERED SIGN                        , reg, circledR
U000AF, MACRON                                 , macr, OverBar, strns
U000B0, DEGREE SIGN                            , deg
U000B1, PLUS-MINUS SIGN                        , plusmn, pm, PlusMinus
U000B2, SUPERSCRIPT TWO                        , sup2
U000B3, SUPERSCRIPT THREE                      , sup3
U000B4, ACUTE ACCENT                           , acute, DiacriticalAcute
U000B5, MICRO SIGN                             , micro
U000B6, PILCROW SIGN                           , para
U000B7, MIDDLE DOT                             , middot, centerdot, CenterDot
U000B8, CEDILLA                                , cedil, Cedilla
U000B9, SUPERSCRIPT ONE                        , sup1
U000BA, MASCULINE ORDINAL INDICATOR            , ordm
U000BB, RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK, raquo
U000BC, VULGAR FRACTION ONE QUARTER            , frac14
U000BD, VULGAR FRACTION ONE HALF               , frac12, half
U000BE, VULGAR FRACTION THREE QUARTERS         , frac34
U000BF, INVERTED QUESTION MARK                 , iquest
U000C0, LATIN CAPITAL LETTER A WITH GRAVE      , Agrave
U000C1, LATIN CAPITAL LETTER A WITH ACUTE      , Aacute
U000C2, LATIN CAPITAL LETTER A WITH CIRCUMFLEX , Acirc
U000C3, LATIN CAPITAL LETTER A WITH TILDE      , Atilde
U000C4, LATIN CAPITAL LETTER A WITH DIAERESIS  , Auml
U000C5, LATIN CAPITAL LETTER A WITH RING ABOVE , Aring
U000C6, LATIN CAPITAL LETTER AE                , AElig
U000C7, LATIN CAPITAL LETTER C WITH CEDILLA    , Ccedil
U000C8, LATIN CAPITAL LETTER E WITH GRAVE      , Egrave
U000C9, LATIN CAPITAL LETTER E WITH ACUTE      , Eacute
U000CA, LATIN CAPITAL LETTER E WITH CIRCUMFLEX , Ecirc
U000CB, LATIN CAPITAL LETTER E WITH DIAERESIS  , Euml
U000CC, LATIN CAPITAL LETTER I WITH GRAVE      , Igrave
U000CD, LATIN CAPITAL LETTER I WITH ACUTE      , Iacute
U000CE, LATIN CAPITAL LETTER I WITH CIRCUMFLEX , Icirc
U000CF, LATIN CAPITAL LETTER I WITH DIAERESIS  , Iuml
U000D0, LATIN CAPITAL LETTER ETH               , ETH
U000D1, LATIN CAPITAL LETTER N WITH TILDE      , Ntilde
U000D2, LATIN CAPITAL LETTER O WITH GRAVE      , Ograve
U000D3, LATIN CAPITAL LETTER O WITH ACUTE      , Oacute
U000D4, LATIN CAPITAL LETTER O WITH CIRCUMFLEX , Ocirc
U000D5, LATIN CAPITAL LETTER O WITH TILDE      , Otilde
U000D6, LATIN CAPITAL LETTER O WITH DIAERESIS  , Ouml
U000D7, MULTIPLICATION SIGN                    , times
U000D8, LATIN CAPITAL LETTER O WITH STROKE     , Oslash
U000D9, LATIN CAPITAL LETTER U WITH GRAVE      , Ugrave
U000DA, LATIN CAPITAL LETTER U WITH ACUTE      , Uacute
U000DB, LATIN CAPITAL LETTER U WITH CIRCUMFLEX , Ucirc
U000DC, LATIN CAPITAL LETTER U WITH DIAERESIS  , Uuml
U000DD, LATIN CAPITAL LETTER Y WITH ACUTE      , Yacute
U000DE, LATIN CAPITAL LETTER THORN             , THORN
U000DF, LATIN SMALL LETTER SHARP S             , szlig
U000E0, LATIN SMALL LETTER A WITH GRAVE        , agrave
U000E1, LATIN SMALL LETTER A WITH ACUTE        , aacute
U000E2, LATIN SMALL LETTER A WITH CIRCUMFLEX   , acirc
U000E3, LATIN SMALL LETTER A WITH TILDE        , atilde
U000E4, LATIN SMALL LETTER A WITH DIAERESIS    , auml
U000E5, LATIN SMALL LETTER A WITH RING ABOVE   , aring
U000E6, LATIN SMALL LETTER AE                  , aelig
U000E7, LATIN SMALL LETTER C WITH CEDILLA      , ccedil
U000E8, LATIN SMALL LETTER E WITH GRAVE        , egrave
U000E9, LATIN SMALL LETTER E WITH ACUTE        , eacute
U000EA, LATIN SMALL LETTER E WITH CIRCUMFLEX   , ecirc
U000EB, LATIN SMALL LETTER E WITH DIAERESIS    , euml
U000EC, LATIN SMALL LETTER I WITH GRAVE        , igrave
U000ED, LATIN SMALL LETTER I WITH ACUTE        , iacute
U000EE, LATIN SMALL LETTER I WITH CIRCUMFLEX   , icirc
U000EF, LATIN SMALL LETTER I WITH DIAERESIS    , iuml
U000F0, LATIN SMALL LETTER ETH                 , eth
U000F1, LATIN SMALL LETTER N WITH TILDE        , ntilde
U000F2, LATIN SMALL LETTER O WITH GRAVE        , ograve
U000F3, LATIN SMALL LETTER O WITH ACUTE        , oacute
U000F4, LATIN SMALL LETTER O WITH CIRCUMFLEX   , ocirc
U000F5, LATIN SMALL LETTER O WITH TILDE        , otilde
U000F6, LATIN SMALL LETTER O WITH DIAERESIS    , ouml
U000F7, DIVISION SIGN                          , divide, div
U000F8, LATIN SMALL LETTER O WITH STROKE       , oslash
U000F9, LATIN SMALL LETTER U WITH GRAVE        , ugrave
U000FA, LATIN SMALL LETTER U WITH ACUTE        , uacute
U000FB, LATIN SMALL LETTER U WITH CIRCUMFLEX   , ucirc
U000FC, LATIN SMALL LETTER U WITH DIAERESIS    , uuml
U000FD, LATIN SMALL LETTER Y WITH ACUTE        , yacute
U000FE, LATIN SMALL LETTER THORN               , thorn
U000FF, LATIN SMALL LETTER Y WITH DIAERESIS    , yuml
U00100, LATIN CAPITAL LETTER A WITH MACRON     , Amacr
U00101, LATIN SMALL LETTER A WITH MACRON       , amacr
U00102, LATIN CAPITAL LETTER A WITH BREVE      , Abreve
U00103, LATIN SMALL LETTER A WITH BREVE        , abreve
U00104, LATIN CAPITAL LETTER A WITH OGONEK     , Aogon
U00105, LATIN SMALL LETTER A WITH OGONEK       , aogon
U00106, LATIN CAPITAL LETTER C WITH ACUTE      , Cacute
U00107, LATIN SMALL LETTER C WITH ACUTE        , cacute
U00108, LATIN CAPITAL LETTER C WITH CIRCUMFLEX , Ccirc
U00109, LATIN SMALL LETTER C WITH CIRCUMFLEX   , ccirc
U0010A, LATIN CAPITAL LETTER C WITH DOT ABOVE  , Cdot
U0010B, LATIN SMALL LETTER C WITH DOT ABOVE    , cdot
U0010C, LATIN CAPITAL LETTER C WITH CARON      , Ccaron
U0010D, LATIN SMALL LETTER C WITH CARON        , ccaron
U0010E, LATIN CAPITAL LETTER D WITH CARON      , Dcaron
U0010F, LATIN SMALL LETTER D WITH CARON        , dcaron
U00110, LATIN CAPITAL LETTER D WITH STROKE     , Dstrok
U00111, LATIN SMALL LETTER D WITH STROKE       , dstrok
U00112, LATIN CAPITAL LETTER E WITH MACRON     , Emacr
U00113, LATIN SMALL LETTER E WITH MACRON       , emacr
U00116, LATIN CAPITAL LETTER E WITH DOT ABOVE  , Edot
U00117, LATIN SMALL LETTER E WITH DOT ABOVE    , edot
U00118, LATIN CAPITAL LETTER E WITH OGONEK     , Eogon
U00119, LATIN SMALL LETTER E WITH OGONEK       , eogon
U0011A, LATIN CAPITAL LETTER E WITH CARON      , Ecaron
U0011B, LATIN SMALL LETTER E WITH CARON        , ecaron
U0011C, LATIN CAPITAL LETTER G WITH CIRCUMFLEX , Gcirc
U0011D, LATIN SMALL LETTER G WITH CIRCUMFLEX   , gcirc
U0011E, LATIN CAPITAL LETTER G WITH BREVE      , Gbreve
U0011F, LATIN SMALL LETTER G WITH BREVE        , gbreve
U00120, LATIN CAPITAL LETTER G WITH DOT ABOVE  , Gdot
U00121, LATIN SMALL LETTER G WITH DOT ABOVE    , gdot
