Name,Value,RGB
alice blue,#F0F8FF,"-240,248,255"
antique white,#FAEBD7,"-250,235,215"
aqua marine,#7FFFD4,"-127,255,212"
azure,#F0FFFF,"-240,255,255"
beige,#F5F5DC,"-245,245,220"
bisque,#FFE4C4,"-255,228,196"
Black,#000000,"(0,0,0)"
blanched almond,#FFEBCD,"-255,235,205"
Blue,#0000FF,"(0,0,255)"
blue violet,#8A2BE2,"(138,43,226)"
brown,#A52A2A,"(165,42,42)"
burly wood,#DEB887,"-222,184,135"
cadet blue,#5F9EA0,"-95,158,160"
chartreuse,#7FFF00,"(127,255,0)"
chocolate,#D2691E,"(210,105,30)"
coral,#FF7F50,"(255,127,80)"
corn flower blue,#6495ED,"-100,149,237"
corn silk,#FFF8DC,"-255,248,220"
crimson,#DC143C,"(220,20,60)"
Cyan / Aqua,#00FFFF,"(0,255,255)"
dark blue,#00008B,"(0,0,139)"
dark cyan,#008B8B,"(0,139,139)"
dark golden rod,#B8860B,"(184,134,11)"
dark gray / dark grey,#A9A9A9,"-169,169,169"
dark green,#006400,"(0,100,0)"
dark khaki,#BDB76B,"-189,183,107"
dark magenta,#8B008B,"(139,0,139)"
dark olive green,#556B2F,"(85,107,47)"
dark orange,#FF8C00,"(255,140,0)"
dark orchid,#9932CC,"(153,50,204)"
dark red,#8B0000,"(139,0,0)"
dark salmon,#E9967A,"-233,150,122"
dark sea green,#8FBC8F,"-143,188,143"
dark slate blue,#483D8B,"(72,61,139)"
dark slate gray,#2F4F4F,"(47,79,79)"
dark turquoise,#00CED1,"(0,206,209)"
dark violet,#9400D3,"(148,0,211)"
deep pink,#FF1493,"(255,20,147)"
deep sky blue,#00BFFF,"(0,191,255)"
dim gray / dim grey,#696969,"-105,105,105"
dodger blue,#1E90FF,"-30,144,255"
firebrick,#B22222,"(178,34,34)"
floral white,#FFFAF0,"-255,250,240"
forest green,#228B22,"(34,139,34)"
gainsboro,#DCDCDC,"-220,220,220"
ghost white,#F8F8FF,"-248,248,255"
gold,#FFD700,"(255,215,0)"
golden rod,#DAA520,"(218,165,32)"
gray / grey,#808080,"-128,128,128"
Green,#008000,"(0,128,0)"
green yellow,#ADFF2F,"(173,255,47)"
honeydew,#F0FFF0,"-240,255,240"
hot pink,#FF69B4,"-255,105,180"
indian red,#CD5C5C,"(205,92,92)"
indigo,#4B0082,"(75,0,130)"
ivory,#FFFFF0,"-255,255,240"
khaki,#F0E68C,"-240,230,140"
lavender,#E6E6FA,"-230,230,250"
lavender blush,#FFF0F5,"-255,240,245"
lawn green,#7CFC00,"(124,252,0)"
lemon chiffon,#FFFACD,"-255,250,205"
light blue,#ADD8E6,"-173,216,230"
light coral,#F08080,"-240,128,128"
light cyan,#E0FFFF,"-224,255,255"
light golden rod yellow,#FAFAD2,"-250,250,210"
light gray / light grey,#D3D3D3,"-211,211,211"
light green,#90EE90,"-144,238,144"
